ZIPCODE,ZC_LATITUDE,ZC_LONGITUDE,AUTONOMOUS_COMMUNITY,AUTONOMOUS_COMMUNITY_NK,PROVINCE
05697,40.2833,-5.5,Castilla - Leon,CL,Ávila
05696,40.4,-5.5,Castilla - Leon,CL,Ávila
05695,40.4333,-5.4667,Castilla - Leon,CL,Ávila
05694,40.4,-5.6,Castilla - Leon,CL,Ávila
05693,40.3167,-5.5833,Castilla - Leon,CL,Ávila
05692,40.4,-5.5333,Castilla - Leon,CL,Ávila
05691,40.35,-5.5833,Castilla - Leon,CL,Ávila
05690,40.3333,-5.4667,Castilla - Leon,CL,Ávila
05635,40.3667,-5.15,Castilla - Leon,CL,Ávila
05634,40.35,-5.1667,Castilla - Leon,CL,Ávila
05633,40.3667,-5.25,Castilla - Leon,CL,Ávila
05631,40.4,-5.25,Castilla - Leon,CL,Ávila
05630,40.35,-5.3667,Castilla - Leon,CL,Ávila
05621,40.3056,-5.6111,Castilla - Leon,CL,Ávila
05620,40.3333,-5.5167,Castilla - Leon,CL,Ávila
05619,40.4167,-5.65,Castilla - Leon,CL,Ávila
05610,40.4,-5.6333,Castilla - Leon,CL,Ávila
05600,40.35,-5.5167,Castilla - Leon,CL,Ávila
05593,40.4111,-5.3889,Castilla - Leon,CL,Ávila
05592,40.4167,-5.3667,Castilla - Leon,CL,Ávila
05591,40.5833,-5.1667,Castilla - Leon,CL,Ávila
05580,40.3833,-5.4333,Castilla - Leon,CL,Ávila
05571,40.5,-5.2167,Castilla - Leon,CL,Ávila
05560,40.5611,-5.0778,Castilla - Leon,CL,Ávila
05540,40.6167,-4.9833,Castilla - Leon,CL,Ávila
05530,40.5833,-4.9,Castilla - Leon,CL,Ávila
05520,40.6167,-4.8667,Castilla - Leon,CL,Ávila
05516,40.4667,-5.419,Castilla - Leon,CL,Ávila
05515,40.45,-5.3167,Castilla - Leon,CL,Ávila
05514,40.5667,-5.2333,Castilla - Leon,CL,Ávila
05510,40.5167,-5.4,Castilla - Leon,CL,Ávila
05500,40.4667,-5.3167,Castilla - Leon,CL,Ávila
05492,40.1667,-5.1667,Castilla - Leon,CL,Ávila
05491,40.1833,-4.9833,Castilla - Leon,CL,Ávila
05490,40.2,-4.9333,Castilla - Leon,CL,Ávila
05489,40.1667,-5.3333,Castilla - Leon,CL,Ávila
05480,40.15,-5.2333,Castilla - Leon,CL,Ávila
05470,40.25,-4.9,Castilla - Leon,CL,Ávila
05461,40.3,-4.8333,Castilla - Leon,CL,Ávila
05460,40.2833,-4.85,Castilla - Leon,CL,Ávila
05450,40.2833,-4.7667,Castilla - Leon,CL,Ávila
05440,40.3167,-4.7,Castilla - Leon,CL,Ávila
05430,40.3,-4.6333,Castilla - Leon,CL,Ávila
05429,40.3167,-4.4833,Castilla - Leon,CL,Ávila
05428,40.3167,-4.5667,Castilla - Leon,CL,Ávila
05427,40.2333,-4.6,Castilla - Leon,CL,Ávila
05420,40.2833,-4.5833,Castilla - Leon,CL,Ávila
05419,40.2433,-5.0317,Castilla - Leon,CL,Ávila
05418,40.15,-4.9833,Castilla - Leon,CL,Ávila
05417,40.2167,-5.1333,Castilla - Leon,CL,Ávila
05416,40.2667,-5.0833,Castilla - Leon,CL,Ávila
05415,40.25,-5.1,Castilla - Leon,CL,Ávila
05414,40.3,-5,Castilla - Leon,CL,Ávila
